id_mt,entidad,gizscore,fallecidos,gipvalue,tramo,nombre,latitud,longitud,pr,municipio,departamento,divipola,fecha,anio,mes,dia,nombre_mes
1G007,ANI,1.942162,2,0.052117,MOSQUERA - FACATATIVA - LOS ANDES,Bogotá (Fontibón) – Faca – Los Alpes,4.788334,-74.334441,51,FACATATIVÁ,CUNDINAMARCA,25269,2024-04-11,2024,4,11,April
,DEPTO,3.328315,8,0.000874,MOSQUERA - FUNZA,,4.74712,-74.168107,sd,FUNZA,CUNDINAMARCA,25286,2023-10-09,2023,10,9,October
,DEPTO,6.043761,19,0.0,MOSQUERA - FUNZA,,4.737457,-74.180797,sd,FUNZA,CUNDINAMARCA,25286,2022-01-21,2022,1,21,January
,DEPTO,7.752761,17,0.0,MOSQUERA - FUNZA,,4.726685,-74.191834,sd,FUNZA,CUNDINAMARCA,25286,2024-04-20,2024,4,20,April
,DEPTO,6.120171,18,0.0,MOSQUERA - FUNZA,,4.716745,-74.204249,sd,FUNZA,CUNDINAMARCA,25286,2022-06-16,2022,6,16,June
4G032,ANI,1.93442,3,0.053062,GIRARDOT - BOGOTÁ,IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot,4.539306,-74.261896,111,SIBATÉ,CUNDINAMARCA,25740,2023-01-23,2023,1,23,January
4G032,ANI,1.942162,2,0.052117,GIRARDOT - BOGOTÁ,IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot,4.536913,-74.281327,107,SOACHA,CUNDINAMARCA,25754,2023-08-24,2023,8,24,August
4G032,ANI,2.403517,11,0.016238,GIRARDOT - BOGOTÁ,IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot,4.529922,-74.339426,98,GRANADA,CUNDINAMARCA,25312,2022-11-12,2022,11,12,November
4G032,ANI,1.725132,6,0.084504,GIRARDOT - BOGOTÁ,IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot,4.518838,-74.357806,96,GRANADA,CUNDINAMARCA,25312,2022-01-14,2022,1,14,January
4G032,ANI,1.725132,8,0.084504,GIRARDOT - BOGOTÁ,IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot,4.504559,-74.364744,94,GRANADA,CUNDINAMARCA,25312,2022-08-30,2022,8,30,August
,INVIAS-OTROS,2.113062,9,0.034595,CALARCÁ - IBAGUÉ,,4.527243,-75.60247,10,CALARCÁ,QUINDÍO,63130,2024-02-16,2024,2,16,February
4G032,ANI,2.562283,10,0.010399,GIRARDOT - BOGOTÁ,IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot,4.425913,-74.390199,82,SILVANIA,CUNDINAMARCA,25743,2023-07-19,2023,7,19,July
4G032,ANI,2.454862,8,0.014094,GIRARDOT - BOGOTÁ,IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot,4.407575,-74.391368,80,SILVANIA,CUNDINAMARCA,25743,2024-06-16,2024,6,16,June
4G032,ANI,2.77157,3,0.005579,GIRARDOT - BOGOTÁ,IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot,4.375719,-74.388125,75,FUSAGASUGÁ,CUNDINAMARCA,25290,2022-04-02,2022,4,2,April
4G032,ANI,2.77157,16,0.005579,GIRARDOT - BOGOTÁ,IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot,4.361716,-74.37977,71,FUSAGASUGÁ,CUNDINAMARCA,25290,2024-08-13,2024,8,13,August
4G032,ANI,3.883253,16,0.000103,GIRARDOT - BOGOTÁ,IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot,4.310412,-74.439811,61,FUSAGASUGÁ,CUNDINAMARCA,25290,2023-05-24,2023,5,24,May
4G032,ANI,1.811623,9,0.070044,GIRARDOT - BOGOTÁ,IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot,4.289098,-74.466172,57,FUSAGASUGÁ,CUNDINAMARCA,25290,2024-02-15,2024,2,15,February
4G032,ANI,3.190145,9,0.001422,GIRARDOT - BOGOTÁ,IP  –  Ampliación a Tercer Carril Doble Calzada Bogotá - Girardot,4.26336,-74.518687,49,FUSAGASUGÁ,CUNDINAMARCA,25290,2022-02-04,2022,2,4,February
